article_id,link,content,title,month,year
1,https://timesofindia.indiatimes.com/city/delhi/revamped-central-vista-opens-to-the-public/articleshow/94106365.cms,"NEW DELHI: The last time Laxmi Chandra came to the India Gate area, the boulevard there was called Rajpath.
On Friday, when she came there with her family after two years, Kartavya Path mesmerised her. It is amazing to see the redeveloped Central Vista. When we came earlier, there was a lot of dust. Now, the sandy area has now been covered with grasses,"" said Chandra, whose daughter was busy clicking pictures of the newly installed statue of Subhas Chandra Bose.

After Kartavya Path was inaugurated on Thursday after 19 months of closure to the public, people made a beeline for the revamped spot. Though police said 5,000-7,000 people visited Kartavya Path on Friday, the number of visitors is expected to go up substantially over the weekend.
Powered By
Video Player is loading.
Gujarat, Himachal Election Results 2022 Live Updates: Party's high command to decide on Himachal CM, say Congress MLAs

One of the main highlights on Friday night was a drone show on the life of Netaji organised by the Union ministry of culture.

The skies above India Gate were filled with colourful drones that formed images of Netaji and his slogan of 'Jai Hind'. The drone show will also be held on Saturday and Sunday. Visitor Huma Khan said she found the drone show spectacular.
Another attraction was the cultural show featuring folk artistes from various states. Shanu Kori of Madhya Pradesh, said, I am very happy to perform in our country's capital in front of such a big crowd. It is an honour for us and we performed a traditional dance of Bundelkhand.""
As the revamped site was opened to the public after a lengthy gap, there was excitement among people who gaped at the new features of the popular green area. Pranav Kumar and his wife Pooja, who came with their two children, said they were having a good time walking on the pathways. It is one the best open spaces in the city to spend quality time with children,"" the couple said.
Manish Kumar was accompanied by his family. He said the lighting, walkways, parking zones and other amenities introduced here have given a new look to the place and seemed appropriate with the changing times.
Major additions at the India Gate complex are the four pedestrian underpasses. These interconnect across the lawns so that visitors do not have to cross Kartavya Path. If earlier the visitors faced problems in crossing the roads at the C-Hexagon and Rajpath, they can now safely use the underpasses, which also have boards depicting the new features and changes on Kartavya Path.
Police said the traffic was not hampered on Friday because the pedestrians used the underpasses and the autorickshaws did not have to stop on the road, thus ensuring smooth flow of traffic. Several police teams were deployed to prevent traffic snarls created by autorickshaws idling ahead of Kartavya Path.",Revamped Central Vista opens to the public | Delhi News - Times of India,9,2022
2,https://timesofindia.indiatimes.com/city/delhi/central-vista-pick-your-route-carefully/articleshow/94036792.cms,"NEW DELHI: Delhi Traffic Police has made elaborate arrangements to minimise inconvenience to commuters on Thursday when restrictions will be enforced for inauguration of Central Vista Avenue. The dress rehearsal will also be held on Wednesday for which diversions will continue to be in place.
The avenue, which stretches from Vijay Chowk to India Gate, will be inaugurated by Prime Minister Narendra Modi and open to the general public on Sep 8. Traffic movement will remain diverted between 6pm and 9pm.
According to the detailed traffic advisory, traffic will be diverted on Tilak Marg (From C-Hexagon to Bhagwan Dass Road crossing), Purana Qila Road (From C-Hexagon to Mathura Road), Shershah Road (from C-Hexagon to Mathura Road), Dr Zakir Hussain Marg (From C-Hexagon to Subramanian Bharti Marg crossing).
Diversions will also be placed on Pandara Road, Shahjahan Road (from C-Hexagon to Q-point), Akbar Road (from C-Hexagon to Mansingh Road roundabout), Ashoka Road (from C-Hexagon to Jaswant Singh Road roundabout).
Other roads where vehicles will not be permitted include KG Marg (from C-Hexagon to Madhav Rao Scindia Marg crossing), Copernicus Marg (from C-Hexagon to Madhav Rao Scindia Marg crossing).
Traffic police have also advised commuters to avoid certain stretches, including Mathura Road, Ashoka Road, Prithvi Raj Road, APJ Abdul Kalam Road and Rajesh Pilot Marg.
Due to the restrictions, heavy traffic jams can be expected at Windsor Place, Claridges Hotel roundabout, Man Singh Road, MLNP roundabout, Janpath, Firoz Shah Road, Mandi House roundabout and Sikandra Road.
Police have also requested Delhi Transport Corporation (DTC) to organise a park and ride"" facility from pick-up points like C-Hexagon "" Bhairon Road, Rajghat, Connaught Place and JLN Stadium.

|stretch from Rashtrapati Bhavan to India Gate will have red granite walkways with greenery all around, refurbished canals, state-wise food stalls, new amenity blocks and vending kiosks.",Free Delhi Metro e-bus service to Central Vista for a week | Delhi News - Times of India,9,2022
3,https://timesofindia.indiatimes.com/city/pune/vistadome-coaches-in-all-central-railway-trains-a-big-hit-claim-rail-officials/articleshow/94816855.cms,"PUNE: The Vista Dome coaches on Central Railway have received an overwhelming response from passengers, Central Railway officials said.
""Whether it is the breathtaking views of the valleys, rivers and waterfalls along the Mumbai-Goa route or the spectacular views of the Western Ghats along the Mumbai-Pune route, these coaches with glass tops and wide windowpanes have proved to be a hit,"" an official said.
Central Railway has registered an occupancy of 56,895 passengers registering a revenue of Rs.7.32 crore during six months from Apr 2022 to Sep this year.
""The Mumbai-Madgaon-Mumbai Janshatabdi Express is the foremost with an occupancy of more than 100% i.e. 16,078 passengers registering a revenue of Rs.3.35 crore. The Mumbai- Pune - Mumbai Deccan Queen has registered an occupancy of 99% in Up direction i.e from Pune to Mumbai with revenue of Rs. 1.43 crore and the Mumbai-Pune-Mumbai Deccan Express with 100% occupancy i.e. 16,190 passengers and a revenue of Rs.1.26 crores,"" the official added.
The Vistadome coaches were first introduced on CR in Mumbai-Madgaon Janshatabdi Express in 2018. Due to the huge demand from the passengers, the second Vistadome coach on Mumbai-Madgaon Route was attached to Tejas Express with effect from Sep 15.
""The immense popularity of these coaches led to the introduction of these coaches in the Mumbai-Pune Deccan Express from Jun 26 and also considering the demand from the passengers, two more Vistadome coaches on Mumbai-Pune Route was attached to Deccan Queen from Aug 15 last year and in Pragati express with effect from Jul 25 this year as well as one Vistadome coach in Pune-Secenderabad Shatabdi Express also with effect from Aug 10 this year,"" another CR official said.
The Vistadome coaches apart from having a glass roof top has a number of other features like wide windowpanes, LED lights, rotatable seats and pushback chairs, Electrically Operated Automatic Sliding Compartment Doors, Wide side sliding doors for Divyangs, Toilets with ceramic tile flooring and a viewing galaxy.","Vistadome coaches in all Central Railway trains a big hit, claim rail officials | Pune News - Times of India",10,2022
4,https://timesofindia.indiatimes.com/city/chandigarh/rly-yard-officials-pulled-up-for-delay-in-trial-run-of-new-coaches-on-kalka-shimla-route/articleshow/95812373.cms,"CHANDIGARH: Taking strong note of delay in conducting the trial run of the new design panoramic view coaches on Kalka-Shimla heritage section, the general manager northern railways Ashutosh Gangal pulled up the Kalka yard officials and directed them to conduct trial run at the earliest without wasting more time.
He also expressed hope on increasing the speed of the train with new coaches by 3kmph. At present, the toy trains run at 22kmph on Kalka-Shimla tracks, but with the introduction of these panoramic view coaches the speed might be increased to 25kmph, the yard officials told the GM.
Now these coaches will be fitted with wheels for the trial run to be conducted thereafter. The coaches trial run was scheduled to be held in Nov.
The panoramic view coaches for toy trains have been fabricated at Rail Coach Factory (RCF) Kapurthala. These new coaches will be a better and improved version of previous vista dome coaches, said a senior railway officer. Divisional regional manager (DRM) Mandeep Bhatia said, ""Kalka-Shimla heritage section is soon going to get brand new fabricated coaches with panoramic view and will have aircraft seats for increased comfort. Once the coaches are fitted with wheels,we will hold the trial run of the coaches to undergo a stability test.""
The sample of the coach has already been fabricated by the Rail Coach Factory (RCF), which has been delivered at Kalka yard. The new coach, will also sustain higher speed at the heritage section.
DRM said, ""The coaches are being prepared indigenously by the RCF and they will soon have speed trials on the heritage section.""
A senior RCF officer said RCF have designed top of the line coaches for toy trains to be run on Kalka-Shimla heritage section keeping all comfort and requirement of the passengers. The coaches have been fitted with the latest technology of pneumatic braking system whereas in the existing coaches it is vacuum brake system. This pneumatic braking system enables a coach to stop at a short time interval, which will also help in increasing the speed. Better suspension system has been fitted to give better stability of the coach where passengers will not feel swing type experience while travelling.
The main feature of the coaches will be its wider panoramic view, which passengers will enjoy while sitting. The passenger will not have to stand up to have a glimpse of the mountain peaks or down under as the sides and roof is so designed that it has see through walls with better view than earlier vista dome coaches.
Another officer said these coaches will be first centrally air-conditioned coaches with reverse cycle system, get cool air and switch over to heated air whenever required as per the comfort of the passengers and weather.",Railway yard officials pulled up for delay in trial run of new coaches on Kalka-Shimla route | Chandigarh News - Times of India,11,2022
5,https://timesofindia.indiatimes.com/city/delhi/delhi-access-to-govt-offices-in-central-vista-to-be-through-smart-cards/articleshow/93739988.cms,"NEW DELHI: The government will dispense with the current system of issuing physical paper passes to visitors to enter the office buildings which will come up as a part of the Central Vista redevelopment project along Rajpath lawns. The government will introduce smart cards"" for both employees and visitors to access these Common Central Secretariat (CCS) buildings.
A committee, set up by the home ministry, has come up with a fresh and elaborate system for providing security passes to the visitors. Sources said deliberations are going on and a decision will be taken soon, sources said.
Though currently every visitor needs to get a physical pass from the reception desk of different ministries and departments located at the government buildings, the system is not full-proof because of human interference and a lot depends on the security personnel deployed at the gates.
Officials said introduction of smart cards will put an end to any human intervention and the system can also find who all the visitors met in the buildings. Moreover, the details of the entry and exit will be recorded. Currently, any visitor hardly gives back the physical pass after getting them signed by the officer concerned,"" said an official.
The CCS buildings will come up along the Rajpath lawns and will have modern facilities. The government claims that the workplaces are being designed to bring efficiency in the working of the staff in a big way.
Currently, three new CCS buildings are coming up on the plot where the Indira Gandhi Centre for Modern Arts was earlier located. After completion of these buildings, some of the ministries will be shifted here. The government will take up demolition and redevelopment of existing government office buildings.",Delhi: Access to govt offices in Central Vista to be through smart cards | Delhi News - Times of India,8,2022
6,https://timesofindia.indiatimes.com/india/govt-set-to-rename-rajpath-and-central-vista-lawns-as-kartavya-path/articleshow/94009212.cms,"NEW DELHI: The government is set to rename Rajpath and Central Vista lawns as Kartavya Path. The New Delhi Municipal Council (NDMC) has convened a special meeting on Sep 7 (Wednesday) to adopt the new name, sources said.
READ ALSO
Central Vista: Vending zones, parking and pathways for visitors
Nineteen months after the redevelopment of Central Vista Avenue and Rajpath was launched  necessitating declaring the popular area out of bounds for the public  the revamped stretched will be thrown open to people on Friday (Sep 9). This will be a day after the stretch is inaugurated by

Prime Minister Narendra Modi is scheduled to inaugurate the revamped Rajpath and Central Vista lawns on Thursday evening. TOI on Sunday had first reported the government's plan to rename the stretch on the lines of Amrit Kaal"", which has a major thrust on the duty of citizens.
The entire road and area from the Netaji statue to the Rashtrapati Bhavan will be known as Kartavya Path. Sources said this is also a message to the ruling class that the era of rulers and subjects is over.
Earlier, the name of the road on which PM's residence is located was also changed from Race Course Road to Lok Kalyan Marg.
READ ALSO
Delhi: Revamped Central Vista may open next week
Prime Minister Narendra Modi is likely to unveil the statue of Netaji Subhas Chandra Bose at India Gate next Thursday and he would also inaugurate the revamped Central Vista Avenue or Rajpath for public use. With this the largest and most popular public space in the national capital will be reopened

Modi in his last Aug 15 speech had stressed on the abolition of symbols relating to colonial mindset. In the run up to 2047, he also stressed upon the importance of duties. Both these factors can be seen behind the naming of 'Kartavya Path', sources said.
The Central Vista Avenue comprises the Rajpath and the India Gate lawns, as per the Central government's dedicated website on the Central Vista. Rajpath was known as King's Way before Independence.
READ ALSO
Central Vista Avenue may get a new name
The government may give a new name to the commonly known Central Vista Avenue (CVA), which has been revamped. The name could be in sync with the government's thrust on its development roadmap for the next 25 years, which has been termed 'Amrit Kaal', sources said.

Sources said there is no official name such as 'Central Vista Avenue' in government records, but it was conceptualised as a project as part of the Central Vista redevelopment plan. The government submitted records of the CVA in the Supreme Court in 2020 and the Delhi Urban Art Commission, in its records, referred to the area as CVA in 2021.
WATCH
Rajpath and Central Vista lawns to be renamed as Kartavya Path",Govt set to rename Rajpath and Central Vista lawns as Kartavya Path | India News - Times of India,9,2022
7,https://timesofindia.indiatimes.com/city/delhi/vending-zones-parking-and-pathways-for-visitors/articleshow/93975680.cms,"NEW DELHI: Nineteen months after the redevelopment of Central Vista Avenue and Rajpath was launched  necessitating declaring the popular area out of bounds for the public  the revamped stretched will be thrown open to people on Friday (Sep 9).
This will be a day after the stretch is inaugurated by Prime Minister Narendra Modi.

When people stream into the area this weekend, they will discover several new facilities and be subjected to some restrictions as well. Vendors, including the ubiquitous ice-cream carts, will be allowed only at the designated vending zones along the lawns and parking for 1,117 cars and 35 buses will be available.
However, no picnic like affairs will be allowed on the lawns between Rajpath and the refurbished canals. Officials said visitors will be allowed to do so only in the sections behind the canals where children can also play.

Walking on the lawns will not be prohibited but people will be discouraged from doing so and asked to use only the pathways.
The boating services at the two canals ""behind Krishi Bhawan and the newly-built Vanijya Bhawan "" will be resumed soon. We are restoring all facilities that people enjoyed and also adding more,"" said an official.
On the inauguration day, visitors won't be allowed on the stretch from India Gate to the Man Singh Road crossing. From Friday, however, the entire stretch will be opened. The Prime Minister will inaugurate the stretch and unveil a statue of Netaji Subhash Chandra Bose after sunset.
There will be strong police deployment for a month because footfalls are likely to be high after the stretch is opened. The CPWD has installed 300 advanced CCTV cameras for live monitoring and artificial intelligence algorithms will be used for preventive security. All visitors going to India Gate and the Netaji statue will be subjected to a security check.
Officials said they do not want any loss of livelihood for people who have been carrying on their small businesses around India Gate. Vendors and ice-cream shops will be allowed at five vending zones that can accommodate around 200 such activities. We will see how things take shape and then do the needful. Sixteen kiosks on both sides of India Gate have been allotted to state governments to put up their stalls. Most of these will be selling state-specific food items,"" said an official.
Cars will be allowed to be parked without a charge initially but later NDMC will be managing the parking lots and collect a fee.
Officials said that maintaining the entire area will be a challenge and they will appeal to people to observe cleanliness. We also welcome organisations that want to contribute in creating awareness among the visitors. Maintaining the area has to be a people's initiative,"" said an official.
The redevelopment work had started in Feb 2021. The project was delayed due to several reasons, including Covid-19, prolonged rain that year and issues with the irrigation system.
Officials said they are now working on a plan to minimise the time taken for preparing for the Republic Day celebrations and to ensure that the lawns aren't damaged during such preparations. By 2024, setting up the dais for the President and dignitaries and arrangements for the public will be done with pre-fabricated modules.","Central Vista: Vending zones, parking and pathways for visitors | Delhi News - Times of India",9,2022
8,https://timesofindia.indiatimes.com/city/lucknow/nbris-biodiversity-park-at-central-vista-to-showcase-freedom-struggle/articleshow/94308923.cms,"LUCKNOW: CSIR-National Botanical Research Institute (NBRI) based in the city has started landscaping work for Amrit Biodiversity Park in New Delhi, which is a part of the Central Vista project. This park will showcase plant sculptures depicting important events during India's freedom struggle and 75 years of Independence.
A team of six NBRI experts, led by NBRI director SK Barik, has begun work on developing five green tracks on the theme of the first war of Independence (1857 Uprising), Santhal rebellion, Dandi Mar, Champaran Satyagrah and Indian National Army (INA).
The tracks will be developed by planting trees, herbs, shrubs and grasses in a way so as to depict the journey and sacrifices made by revolutionaries and freedom fighters.
Besides, NBRI will also set up 13 thematic forests that will have 'kumud van' and 'kamal van' flaunting several varieties of lotus.
Through Amrit Biodiversity Park, we aim to develop a landscape that ensures restoration of local ecology on the banks of river Yamuna. Only those plant species which are found in the catchment area of Yamuna will be used for plantation,"" said Barik.
In the biodiversity park, there will be five tracks on 90 hectares of land on the eastern bank which will depict the freedom struggle. The track on the theme of Dandi Mar will have plant sculptures which will show Mahatma Gandhi and people's participation in the freedom struggle, through live plant models. Similarly, the 1857 Mutiny, Santhal Rebellion, Champaran Satyagraha and the struggle by the INA led by Netaji Subhas Chandra Bose will have a green representation,"" he added.
Barik said 75 varieties would be planted in the biodiversity park. We aim to complete the work by Aug 2023. All plantation activities at the park are being undertaken as per the National Green Tribunal's guidelines. The park will be a reflection of the rich biodiversity of the country,"" he said.
Barik said thematic forest, or Nav Bharat Udyan, would be developed which would have 'swasthya van' (for health), 'saurabha van' (for fragrance), 'Navgrah van' (forest of nine planets), 'poshak van' (for nutrition), 'pushpalahiri van' (ever-blooming forest), 'vidya van' (for learning), 'vrinda van', 'kamal van' and 'kumud van' (lotus), 'adbhut paadap van' (forest of wonder plants), Ramayana van, 'divyang van' and 'pracheen padap van' (ancient trees).",NBRI's biodiversity park at Central Vista to showcase freedom struggle | Lucknow News - Times of India,9,2022
9,https://timesofindia.indiatimes.com/city/delhi/delhi-revamped-central-vista-may-open-next-week/articleshow/93936202.cms,"NEW DELHI: Prime Minister Narendra Modi is likely to unveil the statue of Netaji Subhas Chandra Bose at India Gate next Thursday and he would also inaugurate the revamped Central Vista Avenue or Rajpath for public use. With this the largest and most popular public space in the national capital will be reopened for the public after a gap of almost 20 months.
TOI has learnt that Thursday's event would be held after sunset near India Gate in the capital. All the street lights installed along Rajpath and the lawns have sensors and these automatically get switched on when the natural light falls below a fixed threshold.
As a part of the programme, the 28 ft statue of Netaji made from special black granite from Telangana will be unveiled beneath the canopy at India Gate, which once featured a statue of Bitish monarch King George V. That statue was removed and shifted in 1968 to Coronation Park at Burari in Delhi. Modi had unveiled the hologram statue of Netaji at the canopy on Jan 23.
Sources said all seating arrangements would be on the carpeted portions and no seating will be allowed on the lawns so that no portion of the revamped area is damaged. It would also be an unique event as there would be no artificial backdrop behind the stage so that people can see both the India Gate and Netaji's statue during the event.
Sources said finishing touches are being given to all the works on the 3-km long Rajpath and its surrounding areas. They added special focus is on maintaining the lush green lawns"", which are expected to be popular with visitors.
Once the entire 2 km revamped stretch is opened for the public, visitors would also be allowed to walk through the India Gate arch since Amar Jawan Jyoti and the iconic inverted rifle and soldier's 'war helmet' have been moved from there to the National War Memorial. Sources admitted that managing the visitors and preventing them from walking on laws and entering water canals will be a tough task. The government is engaging an agency for housekeeping, cleaning and providing security guards for two years.
As part of the project, four pedestrian underpasses, six new parking lots, eight amenity blocks, six vending zones and two stepped gardens or amphitheatre near the India Gate have been provided. The lawns have been re-laid; canals have been revamped and 16 permanent bridges have been built over them. All utility services have been put underground.
There are around 1,580 red-white sandstone bollards and 415 benches for visitors. To prevent littering, 150 dustbins have been provided as well.
Though the original deadline of the entire project was Nov 2021, the CPWD had to extend the deadlines due to several reasons, including Covid-19 and rearranging the irrigation system. The stretch was briefly opened for the Republic Day parade this year.",Delhi: Revamped Central Vista may open next week | Delhi News - Times of India,9,2022
10,https://timesofindia.indiatimes.com/city/lucknow/nbri-biodiversity-park-at-central-vista-to-showcase-indias-freedom-struggle/articleshow/94312832.cms,"LUCKNOW: CSIR-National Botanical Research Institute (NBRI) based in the city has started landscaping work for Amrit Biodiversity Park in New Delhi, which is a part of the Central Vista project. This park will showcase plant sculptures depicting important events during India's freedom struggle and 75 years of Independence.

A team of six NBRI experts, led by NBRI director SK Barik, has begun work on developing five green tracks on the theme of the first war of Independence (1857 Uprising), Santhal rebellion, Dandi Mar, Champaran Satyagrah and Indian National Army (INA).
The tracks will be developed by planting trees, herbs, shrubs and grasses in a way so as to depict the journey and sacrifices made by revolutionaries and freedom fighters.
Besides, NBRI will also set up 13 thematic forests that will have 'kumud van' and 'kamal van' flaunting several varieties of lotus.
'Restoring ecology on banks of Yamuna'
Through Amrit Biodiversity Park, we aim to develop a landscape that ensures restoration of local ecology on the banks of river Yamuna. Only those plant species which are found in the catchment area of Yamuna will be used for plantation,"" said Barik.
""In the biodiversity park, there will be five tracks on 90 hectares of land on the eastern bank which will depict the freedom struggle. The track on the theme of Dandi Mar will have plant sculptures which will show Mahatma Gandhi and people's participation in the freedom struggle, through live plant models. Similarly, the 1857 Mutiny, Santhal Rebellion, Champaran Satyagraha and the struggle by the INA led by Netaji Subhas Chandra Bose will have a green representation,"" he added.
Barik said 75 varieties of trees, shrubs and herbs each would be planted in the biodiversity park. ""We aim to complete the work by Aug 2023. All plantation activities at the park are being undertaken as per the National Green Tribunal's guidelines,"" he said. Barik said thematic forest would be developed which would have 'swasthya van' (for health), 'saurabha van' (for fragrance), 'Navgrah van' (forest of nine planets), 'poshak van' (for nutrition), 'pushpalahiri van' (ever-blooming forest) among others.",NBRI biodiversity park at Central Vista to showcase India's freedom struggle | Lucknow News - Times of India,9,2022
